artist_country,country_emoji,emoji_lookup,row_number(),url,emoji_label
Switzerland,:flag_ch:,flag-switzerland,11,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-switzerland_1f1e8-1f1ed.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-switzerland_1f1e8-1f1ed.png' width='25'/>
Iceland,:flag_is:,flag-iceland,12,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-iceland_1f1ee-1f1f8.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-iceland_1f1ee-1f1f8.png' width='25'/>
Croatia,:flag_hr:,flag-croatia,13,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-croatia_1f1ed-1f1f7.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-croatia_1f1ed-1f1f7.png' width='25'/>
Albania,:flag_al:,flag-albania,14,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-albania_1f1e6-1f1f1.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-albania_1f1e6-1f1f1.png' width='25'/>
Denmark,:flag_dk:,flag-denmark,15,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-denmark_1f1e9-1f1f0.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-denmark_1f1e9-1f1f0.png' width='25'/>
Latvia,:flag_lv:,flag-latvia,16,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-latvia_1f1f1-1f1fb.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-latvia_1f1f1-1f1fb.png' width='25'/>
Austria,:flag_at:,flag-austria,17,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-austria_1f1e6-1f1f9.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-austria_1f1e6-1f1f9.png' width='25'/>
Sweden,:flag_se:,flag-sweden,18,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-sweden_1f1f8-1f1ea.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-sweden_1f1f8-1f1ea.png' width='25'/>
Australia,:flag_au:,flag-australia,19,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-australia_1f1e6-1f1fa.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-australia_1f1e6-1f1fa.png' width='25'/>
Serbia,:flag_rs:,flag-serbia,20,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-serbia_1f1f7-1f1f8.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-serbia_1f1f7-1f1f8.png' width='25'/>
Czech Republic,:flag_cz:,flag-czech republic,21,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/240/apple/325/flag-czechia_1f1e8-1f1ff.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/240/apple/325/flag-czechia_1f1e8-1f1ff.png' width='25'/>
Estonia,:flag_ee:,flag-estonia,22,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-estonia_1f1ea-1f1ea.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-estonia_1f1ea-1f1ea.png' width='25'/>
